original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
"The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.","They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly. The retail team redesigned the storefront layout to improve shopper flow and visibility.",sentence_reorder,0.331,True
"The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.","The retail team redesigned the storefront layout to improve shopper flow and visibility. them repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.",paragraph_pronoun_change,0.996,True
"The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.","The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.",phrase_level_rewrite,1.0,True
"The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.","The retail team redesigned the storefront layout to improve shopper flow and visibility. The team repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.",human_like_rewrite,0.989,True
"The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.","The retail team redesigned the storefront layout to improve shopper flow and visibility. They repositioned high-demand products, created clear signage, and added comfortable seating areas. Customer dwell time increased, and sales of feature items rose significantly.",formal_rewrite,1.0,True
"The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.","Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers. The health clinic introduced a new wellness program that offered dietary guidance and regular assessments.",sentence_reorder,0.373,True
"The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.","The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.",paragraph_pronoun_change,1.0,True
"The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.","The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.",phrase_level_rewrite,1.0,True
"The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.","The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.",human_like_rewrite,1.0,True
"The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.","The health clinic introduced a new wellness program that offered dietary guidance and regular assessments. Nurses tracked patient progress, provided personalized recommendations, and shared educational resources. Participants reported better energy levels and improved health markers.",formal_rewrite,1.0,True
"The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.","Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling. The publishing house completed editing and released a historical novel that had been in development for over two years.",sentence_reorder,0.434,True
"The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.","The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.",paragraph_pronoun_change,1.0,True
"The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.","The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.",phrase_level_rewrite,1.0,True
"The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.","The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.",human_like_rewrite,1.0,True
"The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.","The publishing house completed editing and released a historical novel that had been in development for over two years. Editors reviewed manuscripts, coordinated cover design, and planned the launch campaign. Early reviews commended the research and compelling storytelling.",formal_rewrite,1.0,True
"The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.","They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption. The legal team prepared documentation for a corporate acquisition and coordinated with external counsel.",sentence_reorder,0.363,True
"The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.","The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. them reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.",paragraph_pronoun_change,0.996,True
"The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.","The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.",phrase_level_rewrite,1.0,True
"The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.","The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. The team reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.",human_like_rewrite,0.989,True
"The legal team prepared documentation for a corporate acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.","The legal team prepared documentation for a business acquisition and coordinated with external counsel. They reviewed contracts, verified regulatory compliance, and ensured key stakeholders were informed at every stage. The transaction closed successfully with minimal disruption.",formal_rewrite,0.97,True
"The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.","Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications. The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability.",sentence_reorder,0.373,True
"The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.","The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.",paragraph_pronoun_change,1.0,True
"The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.","The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.",phrase_level_rewrite,1.0,True
"The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.","The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.",human_like_rewrite,1.0,True
"The automotive manufacturer tested new electric vehicles under harsh conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.","The automotive manufacturer tested new electric vehicles under extreme conditions to validate performance and durability. Engineers monitored battery behavior in extreme temperatures, adjusted suspension settings, and collected data for iterative improvements. The test results guided the final production specifications.",formal_rewrite,0.981,True
